category,subcategory,name,sku,price,old_price,discount,rating,reviews,parsed_date,product_url
Кольца,Женские кольца,Серебряное кольцо,3467110,1 256 ₽,7 180 ₽,−83%,5,23,2025-08-28,https://www.585zolotoy.ru/catalog/products/3467110
Свадьба,,Золотое обручальное кольцо,2792739,31 400 ₽,62 790 ₽,−50%,5,40,2025-08-28,https://www.585zolotoy.ru/catalog/products/2792739
Кольца,Кольца из красного золота,Золотое кольцо с фианитом,9001451,9 526 ₽,34 630 ₽,−72%,5,5,2025-08-28,https://www.585zolotoy.ru/catalog/products/9001451
Кольца,Кольца из красного золота,Золотое кольцо с рубином выращенным и бриллиантами,1452778,17 798 ₽,177 980 ₽,−90%,5,Без,2025-08-28,https://www.585zolotoy.ru/catalog/products/1452778
Кольца,Кольца из красного золота,Золотое кольцо с бриллиантами,1170937,47 990 ₽,95 980 ₽,−50%,5,14,2025-08-28,https://www.585zolotoy.ru/catalog/products/1170937
Кольца,Мужские кольца,Золотое обручальное кольцо,2004199,30 580 ₽,111 190 ₽,−72%,5,267,2025-08-28,https://www.585zolotoy.ru/catalog/products/2004199
Кольца,Женские кольца,Золотое кольцо с бриллиантами,9001502,32 444 ₽,117 980 ₽,−73%,5,3,2025-08-28,https://www.585zolotoy.ru/catalog/products/9001502
Кольца,Мужские кольца,Золотое обручальное кольцо,8047696,5 490 ₽,10 980 ₽,−50%,5,461,2025-08-28,https://www.585zolotoy.ru/catalog/products/8047696
Кольца,Кольца из красного золота,Золотое кольцо с бриллиантами,1278008,30 495 ₽,121 980 ₽,−75%,5,4,2025-08-28,https://www.585zolotoy.ru/catalog/products/1278008
Тренды ювелирных украшений,Мятый металл,Золотое кольцо,9001784,11 995 ₽,43 620 ₽,−73%,5,5,2025-08-28,https://www.585zolotoy.ru/catalog/products/9001784
Тренды ювелирных украшений,Ювелирная база,Золотое кольцо с фианитом,9002224,5 990 ₽,,,5,32,2025-08-28,https://www.585zolotoy.ru/catalog/products/9002224
Кольца,Кольца из красного золота,Золотое кольцо с бриллиантом,1609231,54 995 ₽,219 980 ₽,−75%,5,8,2025-08-28,https://www.585zolotoy.ru/catalog/products/1609231
Кольца,Кольца из красного золота,Золотое кольцо с фианитами,1743839,17 990 ₽,35 980 ₽,−50%,5,84,2025-08-28,https://www.585zolotoy.ru/catalog/products/1743839
Кольца,Кольца из красного золота,Золотое кольцо с сапфиром выращенным и бриллиантами,1877550,25 569 ₽,92 980 ₽,−73%,5,14,2025-08-28,https://www.585zolotoy.ru/catalog/products/1877550
Кольца,Женские кольца,Золотое кольцо с фианитами,9000875,9 990 ₽,19 980 ₽,−50%,5,4,2025-08-28,https://www.585zolotoy.ru/catalog/products/9000875
Кольца,Широкие кольца,Золотое кольцо с бриллиантами,1791897,34 995 ₽,139 980 ₽,−75%,5,3,2025-08-28,https://www.585zolotoy.ru/catalog/products/1791897
Кольца,Кольца из красного золота,Золотое кольцо с бриллиантами,1749021,17 990 ₽,35 980 ₽,−50%,5,62,2025-08-28,https://www.585zolotoy.ru/catalog/products/1749021
Кольца,Женские кольца,Серебряное кольцо,1432141,696 ₽,3 980 ₽,−83%,5,32,2025-08-28,https://www.585zolotoy.ru/catalog/products/1432141
Кольца,Кольца из красного золота,Золотое кольцо с фианитами,9000648,10 560 ₽,38 400 ₽,−72%,5,3,2025-08-28,https://www.585zolotoy.ru/catalog/products/9000648
Кольца,Мужские кольца,Золотая печатка,6299471,43 840 ₽,159 410 ₽,−72%,5,35,2025-08-28,https://www.585zolotoy.ru/catalog/products/6299471
Кольца,Кольца из красного золота,Золотое кольцо с фианитами,5636529,19 794 ₽,71 980 ₽,−73%,5,84,2025-08-28,https://www.585zolotoy.ru/catalog/products/5636529
Кольца,Мужские кольца,Золотое обручальное кольцо,4553056,39 410 ₽,78 820 ₽,−50%,5,28,2025-08-28,https://www.585zolotoy.ru/catalog/products/4553056
Кольца,Кольца из красного золота,Золотое кольцо с изумрудами и бриллиантами,1099714,38 494 ₽,139 980 ₽,−73%,5,2,2025-08-28,https://www.585zolotoy.ru/catalog/products/1099714
Кольца,Кольца из красного золота,Золотое кольцо с гранатом,1076723,18 490 ₽,36 980 ₽,−50%,5,115,2025-08-28,https://www.585zolotoy.ru/catalog/products/1076723
Кольца,Кольца из красного золота,Золотое кольцо с бриллиантами,1179349,20 995 ₽,83 980 ₽,−75%,5,13,2025-08-28,https://www.585zolotoy.ru/catalog/products/1179349
Кольца,Кольца из красного золота,Золотое кольцо с фианитами,1718075,8 245 ₽,32 980 ₽,−75%,5,73,2025-08-28,https://www.585zolotoy.ru/catalog/products/1718075
Кольца,Кольца из красного золота,Золотое кольцо с фианитами,1182316,21 385 ₽,85 530 ₽,−75%,5,60,2025-08-28,https://www.585zolotoy.ru/catalog/products/1182316
Кольца,Мужские кольца,Золотое обручальное кольцо,4045485,33 740 ₽,67 480 ₽,−50%,5,30,2025-08-28,https://www.585zolotoy.ru/catalog/products/4045485
Кольца,Кольца из красного золота,Золотое кольцо с изумрудами выращенными,1012704,9 784 ₽,35 580 ₽,−73%,5,31,2025-08-28,https://www.585zolotoy.ru/catalog/products/1012704
Кольца,Кольца из красного золота,Золотое кольцо с жемчугом и бриллиантами,1545134,36 844 ₽,133 980 ₽,−73%,5,4,2025-08-28,https://www.585zolotoy.ru/catalog/products/1545134
Кольца,Мужские кольца,Золотое обручальное кольцо,1275157,29 496 ₽,107 260 ₽,−73%,5,92,2025-08-28,https://www.585zolotoy.ru/catalog/products/1275157
Кольца,Кольца из красного золота,Золотое кольцо с изумрудом выращенным и бриллиантами,1914991,24 744 ₽,89 980 ₽,−73%,5,15,2025-08-28,https://www.585zolotoy.ru/catalog/products/1914991
Тренды ювелирных украшений,Ювелирная база,Золотое кольцо с бриллиантом,1541665,9 990 ₽,19 980 ₽,−50%,5,85,2025-08-28,https://www.585zolotoy.ru/catalog/products/1541665
Кольца,Кольца из красного золота,Золотое кольцо с бриллиантами,1426045,35 194 ₽,127 980 ₽,−73%,5,3,2025-08-28,https://www.585zolotoy.ru/catalog/products/1426045
